ID	weight_g	length_cm
F2_2	38	10.5
F2_3	33.5	10.8
F2_14	33.9	10
F2_15	44.3	10.3
F2_19	32.9	9.7
F2_20	44.8	10.3
F2_23	36.9	10
F2_24	39.5	10
F2_26	42.5	9.9
F2_37	25.7	9.4
F2_42	39.4	10.2
F2_43	35.3	10.7
F2_45	45.8	10.4
F2_46	26.1	9.7
F2_47	23.9	9.2
F2_48	27.5	9.6
F2_51	37.9	10.5
F2_52	38.5	10.8
F2_54	46.4	10.5
F2_63	43.2	10.5
F2_65	40.4	10.5
F2_66	38.9	9.8
F2_68	32	9.9
F2_69	34.9	9.9
F2_70	23.9	9.8
F2_71	40.9	10
F2_72	30.9	9.7
F2_78	37.1	10
F2_79	38.7	11
F2_80	42.7	10.5
F2_81	33.7	10.2
F2_83	39	10.5
F2_86	34.8	10
F2_87	32.5	10.5
F2_88	46	10.8
F2_89	28.3	9.5
F2_107	43.6	10.3
F2_108	40.6	10.7
F2_109	43.6	10.3
F2_110	37.1	10.3
F2_111	33.8	10
F2_112	26.8	10.5
F2_117	38	10.2
F2_119	40.3	10.2
F2_125	44.1	10.4
F2_126	43.1	10.4
F2_127	33.4	9.9
F2_141	36	10.2
F2_142	24.5	9.9
F2_143	43.1	10.5
F2_144	40	10
F2_145	40	10
F2_154	42.9	10.4
F2_155	31.8	10.2
F2_156	40.9	10.6
F2_157	22.2	9.8
F2_162	44.6	10
F2_163	53.1	10.7
F2_164	52.7	10.8
F2_165	54.1	10.5
F2_166	32.1	9.9
F2_167	29.4	10.7
F2_169	33.9	10.1
F2_180	41.8	10.2
F2_181	31.2	10.2
F2_182	36	10.1
F2_187	40.9	10.3
F2_188	31.5	10.4
F2_189	36.4	10.5
F2_190	41.4	10.5
F2_191	40.9	10.4
F2_192	41.4	10.2
F2_194	38	10.3
F2_195	25.3	10.2
F2_200	45.6	10.8
F2_201	50.1	10.7
F2_212	35.4	9.8
F2_213	39.6	10.3
F2_214	31	9.7
F2_215	46.3	10.4
F2_222	40	10
F2_223	36.2	10.2
F2_224	37.3	10
F2_225	34.1	9.8
F2_226	29	9.9
F2_227	36	10.3
F2_228	42.8	9.9
F2_241	36.7	9.8
F2_242	38.9	9.9
F2_243	43.9	10.2
F2_244	32.8	9.9
F2_245	42.7	10.4
F2_247	40.9	10.3
F2_248	30.7	9.8
F2_261	39.6	10.3
F2_263	36	10.1
F2_264	41.6	10.4
F2_270	45.2	10.2
F2_271	42.3	10
F2_272	39.6	10
F2_278	44.4	10.7
F2_287	43.9	10.2
F2_288	37.7	10.2
F2_289	37.2	10.2
F2_290	36.9	9.9
F2_291	48.5	10.7
F2_296	38.8	10.2
F2_298	33.4	10
F2_299	40	9.9
F2_300	41.1	9.8
F2_302	44	10.5
F2_303	41.9	10.1
F2_304	37.6	10.1
F2_305	34.1	10.1
F2_306	42.9	10.2
F2_307	35.3	9.8
F2_308	40.5	10
F2_309	40.7	10.9
F2_310	39.5	10.6
F2_311	33.6	9.9
F2_312	39.4	10.1
F2_320	39.2	10.3
F2_321	45.3	10.6
F2_323	43	10.1
F2_324	38.3	9.8
F2_325	40.8	9.7
F2_326	32.4	9.9
F2_327	40.5	10.1
F2_328	36.1	9.7
F2_329	34	9.9
F2_330	34.4	10.6
F2_332	35.3	10.7
F2_355	40.9	10.4
F2_357	45.7	10.8
