ID	baseMean	log2FoldChange	padj	Label
SPARCL1	983	-4.5	2.149e-87	-
MAOA	2391.5	-3.3	8.779e-57	MAOA
AC129492.1	757.2	-3	1.432e-50	-
ARHGEF2	2242.4	1	1.745e-45	-
DUSP1	3386.4	-2.9	6.807e-45	-
PHC2	2884.8	-1.4	5.427e-42	-
SAMHD1	14071.9	-3.8	7.839e-41	-
STOM	13502	-1.4	1.157e-40	-
KCTD12	2634.8	2.4	2.588e-40	-
SMIM3	1120.4	-1.3	5.008e-39	-
FKBP5	2594.7	-3.9	3.412e-38	-
ZBTB16	433.6	-6.4	1.333e-37	-
NEXN	5581.8	-2	1.968e-35	-
NNMT	7499	-2.2	4.228e-35	-
MT2A	3686.1	-2.2	2.23e-32	-
MT1X	190.9	-3.2	2.991e-32	-
MORF4L2	4977.3	-1	2.718e-31	-
SLC6A9	235.8	2.3	8.934e-31	SLC6A9
GXYLT2	793.1	1.8	5.779e-30	-
CCDC69	2040.3	-2.8	2.239e-26	-
RAB7B	305.7	1.7	3.22e-26	-
GASK1B	6985.2	-1	4.083e-26	-
GLUL	19856.9	-3	3.076e-25	-
AFAP1L1	492.9	-1.8	3.69e-25	-
NEK10	158.1	2.5	4.559e-25	-
LINC00702	110.7	-4.3	4.559e-25	-
FAM171B	1308.9	1.3	8.072e-25	-
PNPLA2	2555.1	-1.1	1.473e-24	-
VCAM1	504.2	3.5	1.605e-24	-
TIMP4	192.2	-2.9	1.77e-24	-
STEAP1	1864.4	-1.5	1.241e-23	-
ERRFI1	3247.4	-2.4	1.367e-23	-
KLF15	561.7	-4.5	1.695e-23	-
CACNB2	559.4	-3.1	1.933e-22	-
SERPINA3	2707.5	-3.3	1.28e-21	-
RAP2B	651.2	1.2	1.776e-21	-
IRS2	2184.9	-2.1	9.158e-21	-
KLF9	1700.1	-2.1	1.039e-20	-
HPS5	1002.7	-1.6	1.489e-20	-
CRISPLD2	3092.4	-2.6	2.782e-20	-
TSLP	151.8	2.7	3.043e-20	-
GPX3	12475.1	-3.7	3.301e-20	-
MFAP4	27096.7	0.9	7.621e-20	-
TENT5B	70	-2.3	1.094e-19	-
COL1A1	100416	1.2	1.418e-19	-
PHLDA1	2774.5	1	1.72e-19	-
CDIPT	3322.3	-0.8	2.283e-19	-
JADE1	1754.1	-1.2	4.006e-19	-
DNM1	1032.1	1.9	4.343e-19	-
ABAT	524.1	-1	7.431e-19	-
ANXA6	14124.5	-0.9	9.717e-19	-
IMPA2	612	-2.2	1.506e-18	-
SLC6A6	731.2	1.9	2.016e-18	-
APBB2	2407.2	-1	2.392e-18	-
MT1E	554.1	-2.1	3.576e-18	-
TSC22D3	2228.3	-3.3	6.358e-18	-
SOX4	1275.1	2.3	8.709e-18	-
FZD8	145.4	-2.4	1.297e-17	-
STEAP2	3039.9	-2	1.995e-17	-
HIGD1A	2414.2	-1.2	3.922e-17	-
CEBPD	1940.3	-1.5	5.571e-17	-
ANXA4	4884	-1.1	6.506e-17	-
ACSL1	1456	-1.6	8.879e-17	-
CREB3L1	2767.2	0.9	8.879e-17	-
SLC7A6	1677.2	-1.4	1.049e-16	-
CRABP2	1494.1	1.7	1.094e-16	-
MINDY2	1478.2	-1	1.343e-16	-
TMEM200A	806.6	1.1	2.087e-16	-
FGD4	1201.9	-2.1	2.111e-16	-
DNAJB4	1455.2	-1.3	2.464e-16	-
MARCH10	67.6	-3.7	3.538e-16	-
C14orf132	4585.9	1	3.689e-16	-
TMEM119	2974.4	1.1	3.878e-16	-
ALOX15B	67	-9.6	4.891e-16	-
CFLAR	3087.5	-1.1	5.619e-16	-
AC079467.1	47	-5.9	9.172e-16	-
ADAMTS1	29582.9	-2.2	9.733e-16	-
TBX18	2652.1	1.6	1.004e-15	-
DCXR	598.2	-1.9	1.368e-15	-
METTL7A	3904.9	-2.2	1.395e-15	-
TGFBR2	13283.3	-1.4	1.524e-15	-
CCDC107	535.8	-1	2.403e-15	-
CREB5	690.2	2.1	3.087e-15	-
SLC45A1	168.3	-1.3	3.579e-15	-
TCEAL4	3065.7	-1.5	4.132e-15	-
CORO6	1982.8	-2.4	5.046e-15	-
SORT1	5538.1	-2.2	6.21e-15	-
PREPL	1703.4	0.7	7.902e-15	-
ZRANB1	2005.5	-0.9	8.696e-15	-
AP1M1	2226.3	-1.1	9.492e-15	-
TRNP1	1040.6	-1.9	1.096e-14	-
TST	316.6	-1.3	1.287e-14	-
GADD45B	367.4	-1.4	1.38e-14	-
FOXO1	683.6	-2.3	1.86e-14	-
AOPEP	661.2	-1.2	2.2e-14	-
MIR22HG	1376.6	-0.9	3.767e-14	-
RBPMS	3363.5	-0.8	3.903e-14	-
HMGA2-AS1	234.3	-2.4	4.158e-14	-
TRIM45	146.8	2	8.236e-14	-
LRRTM2	65.1	4.5	9.233e-14	-
TENT5A	517.5	1.1	1.749e-13	-
ARPC5	2615.4	-0.9	1.839e-13	-
SYN2	40.1	-3.8	1.875e-13	-
ADRA1B	209.3	-3.8	2.24e-13	-
KCTD9	1761.4	-0.7	2.444e-13	-
AMOT	405.1	2.5	2.453e-13	-
LHFPL6	3023.3	-0.7	2.528e-13	-
ENDOD1	2040.8	-1.9	2.783e-13	-
ADAMTS14	756.4	2.3	2.909e-13	-
WASF3	1281.6	-1	3.628e-13	-
PDLIM5	1316.9	-1.5	3.688e-13	-
TUBA4A	246.9	1.6	5.06e-13	-
TXNRD1	22478.2	-1.4	5.268e-13	-
FOXO3	5254.9	-1.2	5.494e-13	-
PRSS35	308.9	2.6	6.889e-13	-
SVIL	8994	0.6	7.76e-13	-
SAT1	4067.9	-1.3	8.22e-13	-
LINC00968	2065.6	-1.9	9.199e-13	-
CCN3	439.3	2.5	1.082e-12	-
NSMF	1584.1	-1	1.19e-12	-
TSC22D1	5269.6	-1.1	1.27e-12	-
TJP2	5724.9	-2	2.29e-12	-
UHMK1	2995.7	-0.6	2.314e-12	-
CCND3	639.8	-1.1	2.433e-12	-
MYADM	5290	-1.4	2.775e-12	-
LTBP1	20268.4	-0.7	3.548e-12	-
SELENOS	803.9	-0.6	4.575e-12	-
TLN1	19756.4	-0.6	4.575e-12	-
MFGE8	9500.5	-1.1	4.708e-12	-
FPGS	1033.3	-0.7	5.402e-12	-
QPRT	855.9	1.1	6.524e-12	-
SAMD4A	3115.6	-1.2	9.686e-12	-
PRKAA1	2359.8	-0.7	1.124e-11	-
TRPC6	650.1	-1.9	1.132e-11	-
SLC5A6	445.6	-1.2	1.401e-11	-
CHST7	446.7	-1.5	1.401e-11	-
USP33	2731.2	-0.8	1.83e-11	-
PEAK1	8109.7	-1	1.943e-11	-
TEX2	3711	-1.5	2e-11	-
KCNK6	908.3	-2.7	2.353e-11	-
ZHX3	3427.3	-1.1	2.456e-11	-
TENT5C	90	2.4	2.727e-11	-
DBP	98.7	1.5	3.645e-11	-
PPP1R12C	2555.2	-0.6	5.681e-11	-
TP53BP1	2076.3	0.6	5.83e-11	-
MMD	1729.8	-1.6	7.169e-11	-
TLDC2	41.6	-3.9	7.833e-11	-
ADAM12	1359.8	1.8	8.162e-11	-
RAD1	1034.4	-0.7	9.48e-11	-
LINC00906	31	5.2	1.024e-10	-
RND2	203.5	2.1	1.098e-10	-
MPP3	147.7	-1.6	1.122e-10	-
EXT1	5253.2	0.8	1.13e-10	-
SAP30	528	-1.2	1.149e-10	-
AIFM2	588.5	-0.6	1.271e-10	-
MARCKS	5621.9	1.1	1.387e-10	-
ARSK	495.1	-0.8	1.476e-10	-
ROCK2	4531.1	-0.7	1.578e-10	-
PTEN	2231.9	0.5	1.687e-10	-
ARMC8	974.8	-1.1	1.763e-10	-
COL7A1	1556.6	-1.2	1.861e-10	-
AGTRAP	745.4	-1.1	2.129e-10	-
RGL1	1068.6	1	2.141e-10	-
INHBB	416.8	-3.6	2.659e-10	-
LMCD1	4016	-1.6	2.935e-10	-
SMARCD2	2165.8	-1.2	2.935e-10	-
LAMA2	17949.6	-2	3.215e-10	-
TCEAL1	442.7	-1	3.346e-10	-
CIT	305.8	1.7	3.52e-10	-
LHFPL2	2009.7	1.2	3.529e-10	-
GALM	522.9	1	4.013e-10	-
STARD7	3682.5	-1.2	4.516e-10	-
TWIST2	4620	-0.7	4.651e-10	-
CLIC2	399.7	1.2	4.962e-10	-
ASNS	384.2	1.1	5.115e-10	-
THBS1	94773.3	-1.9	5.2e-10	-
FLRT3	181.4	2.4	5.319e-10	-
STEAP4	465.3	-4.8	6.046e-10	-
KLF6	3224.3	-1	6.16e-10	-
ECHDC1	1538.1	-0.8	6.733e-10	-
SQOR	2358.1	-1	6.733e-10	-
PRRX1	5513.7	0.7	7.131e-10	-
SLC4A7	2330.1	1	7.342e-10	-
CPPED1	781.8	-0.9	7.44e-10	-
LDB2	702.6	1.2	7.44e-10	-
RHOB	3286.7	-1.2	7.66e-10	-
GLRX	1965.5	-1	8.872e-10	-
PER3	251.8	2.2	8.876e-10	-
KLHL42	1022.1	-1	9.197e-10	-
HACD1	285.1	-1	9.683e-10	-
DCUN1D3	577.6	-0.7	1.071e-09	-
SMAD1	429.9	1	1.194e-09	-
SUN2	3860.3	-1.7	1.252e-09	-
MAFF	640.6	-1.2	1.484e-09	-
PTX3	9832	-2.2	1.493e-09	-
NCOA3	1616.7	-1.3	1.657e-09	-
CTPS1	724.3	-1.6	1.736e-09	-
NAMPT	2547.6	-0.9	1.903e-09	-
LRRFIP2	2111.4	-0.7	1.929e-09	-
PTPDC1	308.1	-0.9	1.929e-09	-
PCYT2	530.2	-1	1.961e-09	-
CDV3	4859	-0.7	2.138e-09	-
RHEB	2213.7	-1	2.563e-09	-
BNC2	2823.1	1	2.563e-09	-
ATP2A2	10583.5	-1.3	2.563e-09	-
C4orf46	588.5	1.3	2.563e-09	-
PCDH18	6504.8	0.9	2.653e-09	-
TMEM26	73.5	1.9	2.99e-09	-
TMEM150A	488.4	-0.9	3.387e-09	-
PXDC1	1497.9	-1.4	3.387e-09	-
CXCL12	27566.3	1.8	3.626e-09	-
WARS	2846.6	1.4	4.18e-09	-
ZYX	9291.3	-0.7	4.392e-09	-
SSH2	2083	-1.1	4.566e-09	-
FER1L6	254.5	3.1	4.867e-09	-
SHMT1	149.3	-1.1	6.368e-09	-
PGBD5	151.8	2.6	6.368e-09	-
GALNT16	543.8	1	6.412e-09	-
AQP3	137.8	2.9	6.479e-09	-
XPC	1809.5	0.5	6.523e-09	-
XAF1	456.2	0.9	6.766e-09	-
PPP1R14A	207.2	-2.7	7.093e-09	-
TTC39C	586.2	-0.8	7.444e-09	-
UGP2	3269.8	-1	7.689e-09	-
RWDD4	1068	-1.1	7.689e-09	-
NYNRIN	1596.1	1.1	7.97e-09	-
IL16	886.6	-1	8.186e-09	-
GCLM	1941	-1.2	8.581e-09	-
EOGT	1789.9	-1.2	8.581e-09	-
SYNPO2	9159	-1.7	8.581e-09	-
PYGB	3029.3	-0.6	8.847e-09	-
NKD1	296.1	-2.6	9.124e-09	-
OMG	299.7	1.6	1.082e-08	-
NR4A3	216.3	-2.1	1.178e-08	-
RTKN2	118.7	1.8	1.245e-08	-
SRF	1295.3	-0.9	1.269e-08	-
REV3L	8301.1	-1	1.319e-08	-
DAAM2	2590.7	-1.6	1.338e-08	-
ORMDL1	1813.5	-1	1.446e-08	-
ZBTB47	2705.2	-0.7	1.463e-08	-
MAP3K8	507	-1	1.596e-08	-
BRCA1	225.9	1.1	1.804e-08	-
TUT7	1496.9	-1.2	1.804e-08	-
LARP4	1029	-0.8	1.804e-08	-
TCEAL3	995.2	-1	1.804e-08	-
MIR99AHG	142.3	1.4	1.821e-08	-
ERGIC1	6803	-0.7	1.866e-08	-
GDF15	450.3	1.9	1.916e-08	-
ARPC4	2013.7	-0.5	1.918e-08	-
CENPP	131.8	1.7	2.116e-08	-
RASGRP2	90.5	-1.7	2.119e-08	-
SLC35G2	240.2	-0.8	2.181e-08	-
CES2	1288.6	0.5	2.216e-08	-
RPS6KA5	163.2	2	2.329e-08	-
COL4A1	2305.3	-1.4	2.425e-08	-
MAVS	2943	-0.6	2.584e-08	-
AC008522.1	446.9	0.9	2.719e-08	-
CARMIL1	1510.4	-1.1	3.041e-08	-
BDKRB2	6087.6	1.9	3.112e-08	-
ANGPTL2	6411	0.8	3.241e-08	-
AC007325.2	36.7	-7.2	3.296e-08	-
HSD17B11	1522.4	-0.7	3.424e-08	-
TMEM50A	2528.6	-0.7	3.489e-08	-
MGAT1	5431.2	-0.8	3.493e-08	-
GLS	4260.1	-1.1	3.681e-08	-
PPTC7	521.4	-1.2	4.285e-08	-
DUSP10	324.8	1.3	4.492e-08	-
CORIN	178.5	-2	4.615e-08	-
AMPH	359.4	-1.1	4.813e-08	-
STON1	1792.8	-1.3	4.942e-08	-
PRODH	45.9	-4	5.172e-08	-
POLD4	680.6	-0.9	5.186e-08	-
ABLIM1	847.4	-1.4	5.249e-08	-
PIK3R1	3368.3	-1.5	5.335e-08	-
RAF1	2860.2	-0.8	5.461e-08	-
AASS	702.6	-1.1	5.497e-08	-
KLHDC3	1014.4	-0.6	5.581e-08	-
MARCKSL1	620.3	1.1	5.628e-08	-
NEK11	181.3	1.1	5.822e-08	-
SLC22A23	203.6	1.3	6.1e-08	-
ANXA2	25251.7	-0.6	6.318e-08	-
ADH1B	44799.8	-1.1	6.399e-08	-
ACSS1	661.4	-1.8	6.499e-08	-
ZNF521	935	0.9	6.775e-08	-
LAMB1	31051.6	-0.8	6.837e-08	-
ARHGEF28	626.8	-1.1	7.05e-08	-
HMGB2	1064.6	-1.2	8.402e-08	-
TRERF1	473.9	0.7	8.48e-08	-
ELF1	1408.1	-0.8	8.85e-08	-
NID1	9499.5	-1.5	9.85e-08	-
GNB4	1891.4	-0.9	9.908e-08	-
SHB	336.5	0.9	1.011e-07	-
BCL6	1819.8	-0.8	1.043e-07	-
CLDN11	3429.7	1.6	1.055e-07	-
FZD5	54.8	-2.4	1.1e-07	-
HSPA12B	64.8	2.2	1.157e-07	-
MYC	732.2	-0.8	1.256e-07	-
CITED2	7382.8	-1.5	1.352e-07	-
TANK	1167	-0.5	1.387e-07	-
GPX8	3488.8	0.4	1.387e-07	-
HS3ST3B1	322	-0.9	1.394e-07	-
AC037198.2	83	-1.7	1.43e-07	-
OXSR1	1225.2	-0.4	1.445e-07	-
DANCR	222.6	-1.1	1.482e-07	-
ADM2	61.4	2.5	1.509e-07	-
AXIN2	475.4	-1.2	1.537e-07	-
GPR68	60.4	3.1	1.603e-07	-
FAM129B	17868.9	-0.6	1.603e-07	-
DEPP1	18422.1	-1.6	1.723e-07	-
PLA2G4A	112.2	2.4	1.747e-07	-
MSRB3	3080.8	-0.7	2.061e-07	-
SPRED2	879.2	-0.6	2.103e-07	-
SENP7	325.6	0.7	2.179e-07	-
TPM4	50335.2	-0.7	2.282e-07	-
DUSP23	154.9	-1.3	2.342e-07	-
NSG1	15	4	2.489e-07	-
GCHFR	79.5	-1.7	2.527e-07	-
SLC35D1	633	-0.8	2.555e-07	-
SLC38A2	20153.1	-1.1	2.63e-07	-
GCH1	85.3	-1.6	2.676e-07	-
NUDCD1	248.5	-0.7	2.74e-07	-
SLC16A12	49.1	-4	2.943e-07	-
GDNF	230.7	-1.9	2.969e-07	-
RAPGEF5	127.4	-3.4	3.03e-07	-
ATP11C	1382.4	-0.5	3.248e-07	-
ALDH3A2	937.6	0.9	3.33e-07	-
TACC1	8573.1	-0.8	3.498e-07	-
GLCE	1483	-0.9	3.914e-07	-
DPYSL3	4716.3	0.5	4.306e-07	-
CMTM6	2254	-0.6	4.787e-07	-
PPP1CB	4911.9	-0.9	4.787e-07	-
DAAM1	770.4	1.1	5.045e-07	-
ADAMTS2	4525.4	-0.7	5.225e-07	-
DDIT3	630.7	1	5.372e-07	-
TMEM19	731.1	-0.7	5.375e-07	-
EGR2	17	3.1	5.39e-07	-
PAFAH1B3	81.8	1.1	5.778e-07	-
NFIL3	1438.2	-1.1	5.799e-07	-
NEDD9	1859.2	-1.6	6.116e-07	-
ALPK3	68.4	-3	6.128e-07	-
AC026464.4	545.2	-0.5	6.317e-07	-
TM7SF3	1464.6	-0.9	6.342e-07	-
BDKRB1	206	1.8	6.366e-07	-
CALCOCO2	3088.5	-1	6.395e-07	-
RASL11A	903	-2.2	6.406e-07	-
CUL7	1205.6	0.4	6.89e-07	-
ELOVL1	1022.3	-0.5	7.174e-07	-
CYTH3	3723	-1.2	7.878e-07	-
BAIAP2-DT	478.8	0.5	8.098e-07	-
TUBA1A	8256	1.2	8.286e-07	-
ALDH6A1	677.2	-1.1	8.568e-07	-
RAB11FIP4	40.7	1.8	8.577e-07	-
SHMT2	1336.9	0.6	8.913e-07	-
RAC3	72.3	-1.3	9.327e-07	-
SH3D19	5943.3	-0.7	9.411e-07	-
COL3A1	82843.9	0.8	9.411e-07	-
TRAK2	5282.8	-0.9	9.414e-07	-
AMOTL2	3687.2	-0.9	9.578e-07	-
ZNF326	898.2	0.5	1.076e-06	-
YIF1B	614.5	-1.1	1.077e-06	-
CARF	239.7	0.8	1.125e-06	-
MT1M	45.6	-2.5	1.125e-06	-
LIF	165.7	2.4	1.205e-06	-
RGMB-AS1	176.1	1.4	1.214e-06	-
CBX5	2218.7	0.6	1.222e-06	-
ULK2	1545.9	-1.2	1.239e-06	-
AKAP2	7589.8	-1.1	1.277e-06	-
NUAK1	419.3	-1.3	1.279e-06	-
ANPEP	4186.2	-1.1	1.289e-06	-
UBB	7961.9	0.4	1.449e-06	-
EMP1	5850.3	-0.9	1.465e-06	-
TM4SF1	958.6	-1.1	1.51e-06	-
CRYBG3	1668.6	0.7	1.517e-06	-
AC096921.2	31.2	-2.4	1.578e-06	-
ZDHHC12	282.8	-0.9	1.6e-06	-
C1QTNF1	990.3	-1.2	1.661e-06	-
VKORC1L1	1011.4	-0.6	1.661e-06	-
NADK	1684.6	-0.8	1.742e-06	-
SLC39A13	3021	-0.6	1.742e-06	-
